ngrams,state,Notes
,", Guam",Guam Legislature -- Note added 6/7/13 17:46
department,", Guam",Guam Department of Revenue and Taxation -- Note added 6/7/13 17:56
"site,commission",", Washington",Official site of the Washington Dairy Products Commission -- Note added 11/20/14 6:54
"department education,department,state",", Hawaii",Hawaii State Department of Education -- Note added 6/6/13 18:08
,,"Village of Hoffman Estates, IL -- Note added 7/2/14 18:35"
,", Minnesota",Minnesota House of Representatives -- Note added 11/9/15 20:35
,", New Mexico",Historical Society of New Mexico -- Note added 7/16/14 5:16
"services,state",", Michigan",Michigan State Humanities and Social Services Online -- Note added 9/3/15 15:22
state,", Hawaii",High Technology Development Corporation. HTDC 'is a state agency established by the Hawaii State Legislature in 1983 to facilitate the development and growth of Hawaii's commercial high technology industry.' -- Note added 6/12/13 13:21
"health,nc",,NC health and Wellness Trust fund -- Note added 9/11/15 20:19
lottery,", Iowa",Iowa Lottery -- Note added 6/12/13 14:08
,", Nebraska",University of Nebraska - Lincoln Extension publications -- Note added 11/20/13 19:14
national guard,", Idaho",Idaho Army National Guard -- Note added 1/23/14 14:03
lottery,", Idaho",Idaho Lottery -- Note added 6/12/13 14:09
,", Idaho",IDeal - Idaho College Savings Program -- Note added 7/8/13 19:00
services,", Indiana","Benefits Portal, http://www.in.gov/fssa/ Indiana Family and Social Services Administration -- Note added 11/20/13 19:35"
"office,state",", Illinois",Office of the Illinois State Treasurer -- Note added 7/2/14 18:37
lottery,", Illinois",Illinois Lottery -- Note added 6/12/13 14:09
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", New York",Travel and Tourism Site for New York -- Note added 6/6/13 19:12
"health,carolina,north",", North Carolina","Inclusive Health, North Carolina Health Insurance Risk Pool, Inc. -- Note added 11/20/13 19:54"
"public,state",", Washington",Innovate Washington is hereby created as a state agency exercising public and essential governmental functions. Innovate Washington is created as the successor to the Washington technology center and the Spokane intercollegiate research and technology institute (SIRTI). See http://apps.leg.wa.gov/RCW/default.aspx?cite=43.333&full=true  -- Note added 7/23/14 14:21
"economic development authority,public,authority,economic development,site",", Guam",Guam Economic Development Authority (GEDA) web site. GEDA is an autonomous agency of the Government of Guam and a Guam public corporation. -- Note added 6/7/13 17:59
board,", Montana",Montana Board of Investments -- Note added 11/21/13 14:44
"economic development authority,economic development,authority",", Iowa",Iowa Economic Development Authority -- Note added 11/21/13 15:05
,", Iowa, Oklahoma","Iowa Tribe of Oklahoma, Perkins, OK -- Note added 11/21/13 15:11"
national guard,", Iowa",Iowa National Guard -- Note added 1/23/14 14:03
state,", Iowa",Iowa State Fair -- Note added 6/12/13 18:48
"public health,public,north,health,carolina,division public health,division",", North Carolina","The North Carolina Division of Public Health, Injury and Violence Prevention Branch, Youth Suicide Prevention Program works in collaboration with The North Carolina Youth Suicide Prevention Task Force to address youth suicide prevention in North Carolina. -- Note added 11/21/13 20:33"
site,,new jersey history site -- Note added 9/16/15 14:49
"north,state,authority,carolina,division",", North Carolina",Julian F. Keith Alcohol and Drug Abuse Treatment Center. JFK ADATC operates under the authority of the State of North Carolina through the Division of State Operated Healthcare Facilities -- Note added 9/22/15 17:00
department,,Jobs4Jersey. NJ Department of Labor and Workforce Development. -- Note added 6/6/13 18:08
,", Guam","Unified Courts of Guam, Guam Judiciary - www.justice.gov.gu -- Note added 6/7/13 17:57"
"services,commission",,"Justice Administration Commission - The Justice Administrative Commission (JAC), created in 1965, provides administrative services on behalf of 49 judicial related entities. -- Note added 6/23/15 19:03"
,", Kentucky",Kentucky Academic Advising Association -- Note added 1/3/14 13:19
,", Kansas",Kansas Highway Patrol -- Note added 7/9/14 4:30
,,kentucky center -- Note added 8/27/15 16:36
national guard,", Kentucky",Kentucky National Guard -- Note added 1/23/14 14:03
,, kentucky housing corp -- Note added 8/27/15 16:37
state,", Kentucky",Kentucky State Police -- Note added 6/12/13 18:09
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Kentucky",Travel and Tourism Site for Kentucky -- Note added 6/6/13 19:38
authority,", Kentucky",Kentucky Higher Education Assistance Authority -- Note added 7/26/13 17:48
,,Ky legislature -- Note added 8/27/15 16:39
"board,state board,state",", Kansas",Kansas State Board of Healing Arts -- Note added 7/9/14 4:38
"board,state board,state",", Kansas",Kansas State Board of Nursing -- Note added 7/9/14 4:39
,", Kansas",Kansas Judicial Branch -- Note added 7/9/14 4:40
department,", Kansas",Kansas Department of Transportation -- Note added 3/20/14 15:35
,", Kansas",Kansas Historical Society -- Note added 7/9/14 4:41
state,", Kansas",Kansas State Legislature -- Note added 7/9/14 4:42
lottery,", Kansas",Kansas Lottery -- Note added 6/12/13 14:09
department,", Kansas",Kansas Department of Revenue -- Note added 7/9/14 4:44
"office,state",", Kansas","Office of the Secretary of State, State of Kansas -- Note added 7/23/14 15:51"
department,", Kentucky",Kentucky Department of Agriculture -- Note added 7/5/13 17:39
,,ky convention center  -- Note added 8/27/15 16:39
board,", Kentucky",Kentucky Education Professional Standards Board -- Note added 7/5/13 17:38
,,KY expo center -- Note added 8/27/15 16:41
lottery,", Kentucky",Kentucky Lottery -- Note added 6/12/13 14:10
,,KY Treasury -- Note added 8/27/15 16:42
"board,board examiners",,LA Board of Examiners of Nursing Facility Administrators -- Note added 9/22/15 20:03
board,", Louisiana",Louisiana Board of Massage Therapy -- Note added 11/12/15 17:36
board,", Louisiana",Louisiana Board of Pharmacy -- Note added 8/24/15 14:41
"board,state board,state",", Louisiana",Louisiana State Board of Social Work Examiners -- Note added 8/24/15 14:41
"board,state board,state",", Louisiana", Louisiana State Board of Chiropractic Examiners -- Note added 8/24/15 14:42
services,", Louisiana",The Council of Information Services Directors for Louisiana -- Note added 8/24/15 14:43
"board,board examiners",", Louisiana",Louisiana Board of Examiners of Certified Shorthand Reporters -- Note added 9/23/15 12:16
,", Louisiana",Louisiana Developmental Disabilities Council -- Note added 9/23/15 13:30
"department,commission",", Louisiana","Louisiana Egg Commission, Louisiana Department of Agriculture & Forestry  -- Note added 9/23/15 14:53"
board,", Louisiana",Louisiana Auctioneers Licensing Board -- Note added 9/23/15 16:37
board,", Louisiana",Louisiana Professional Engineering and Land Surveying Board -- Note added 8/24/15 14:46
board,", Louisiana",Louisiana Physical Therapy Board -- Note added 8/24/15 14:46
,", Louisiana",Louisiana Supreme Court -- Note added 9/23/15 16:38
"board,state board,state",", Louisiana",Louisiana State Board of Architectural Examiners -- Note added 1/14/14 14:13
commission,", Louisiana",Louisiana Workforce Commission (LAWorks) -- Note added 9/23/15 16:41
"board,board examiners",", Louisiana",Louisiana Board of Examiners in Dietetics and Nutrition  -- Note added 8/24/15 14:48
board,", Louisiana",Louisiana board of speech language pathology -- Note added 8/24/15 14:51
,", Virgin Islands",Legislature of the Virgin Islands -- Note added 8/18/14 14:07
,", Kansas",League of Kansas Municipalities -- Note added 7/9/14 4:50
"carolina department,carolina,department",", South Carolina","South Carolina Department of Labor, Licensing and Regulation -- Note added 1/17/14 15:50"
,", Minnesota","League of Minnesota Cities Per the 'About the League' section of their website, LMC is 'a membership organization dedicated to promoting excellence in local government.'  -- Note added 4/26/15 4:37"
,", Puerto Rico",LoterÃ­a ElectrÃ³nica de Puerto Rico -- Note added 6/12/13 14:11
authority,", Louisiana",Louisiana Community Development Authority -- Note added 9/23/15 12:18
lottery,", Louisiana",Louisiana Lottery Corporation -- Note added 6/12/13 14:13
"board,state",", Louisiana","Louisiana Seafood Board. In 1984, the State of Louisiana created the Louisiana Seafood Promotion & Marketing Board. For more information see https://www.legis.la.gov/legis/BoardMembers.aspx?boardId=355. -- Note added 11/12/15 15:08"
commission,", Louisiana",Louisiana Tax Free Shopping Commission -- Note added 9/23/15 16:44
"travel tourism,travel tourism site,travel,tourism,tourism site,site",", Louisiana",Travel and Tourism Site for Louisiana -- Note added 6/6/13 19:40
"board,board examiners",,Licensed Professional Counselors Board of Examiners -- Note added 8/24/15 14:53
