Raw,Unigram,Bigram,Trigram
Alabama Department of Public Health -- Note added 6/12/13 16:40,"[['Alabama'], ['Department'], ['Public'], ['Health'], ['Note'], ['added'], ['61213'], ['1640']]","[['Alabama', 'Department'], ['Department', 'Public'], ['Public', 'Health'], ['Health', 'Note'], ['Note', 'added'], ['added', '61213'], ['61213', '1640']]","[['Alabama', 'Department', 'Public'], ['Department', 'Public', 'Health'], ['Public', 'Health', 'Note'], ['Health', 'Note', 'added'], ['Note', 'added', '61213'], ['added', '61213', '1640']]"
University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32,"[['University'], ['Massachusetts'], ['Center'], ['Agriculture'], ['Research'], ['Extension'], ['Note'], ['added'], ['112013'], ['1532']]","[['University', 'Massachusetts'], ['Massachusetts', 'Center'], ['Center', 'Agriculture'], ['Agriculture', 'Research'], ['Research', 'Extension'], ['Extension', 'Note'], ['Note', 'added'], ['added', '112013'], ['112013', '1532']]","[['University', 'Massachusetts', 'Center'], ['Massachusetts', 'Center', 'Agriculture'], ['Center', 'Agriculture', 'Research'], ['Agriculture', 'Research', 'Extension'], ['Research', 'Extension', 'Note'], ['Extension', 'Note', 'added'], ['Note', 'added', '112013'], ['added', '112013', '1532']]"
Texas A&M AgriLife Extension -- Note added 3/3/15 6:32,"[['Texas'], ['AgriLife'], ['Extension'], ['Note'], ['added'], ['3315'], ['632']]","[['Texas', 'AgriLife'], ['AgriLife', 'Extension'], ['Extension', 'Note'], ['Note', 'added'], ['added', '3315'], ['3315', '632']]","[['Texas', 'AgriLife', 'Extension'], ['AgriLife', 'Extension', 'Note'], ['Extension', 'Note', 'added'], ['Note', 'added', '3315'], ['added', '3315', '632']]"
Alabama Housing Finance Authority -- Note added 6/12/13 16:40,"[['Alabama'], ['Housing'], ['Finance'], ['Authority'], ['Note'], ['added'], ['61213'], ['1640']]","[['Alabama', 'Housing'], ['Housing', 'Finance'], ['Finance', 'Authority'], ['Authority', 'Note'], ['Note', 'added'], ['added', '61213'], ['61213', '1640']]","[['Alabama', 'Housing', 'Finance'], ['Housing', 'Finance', 'Authority'], ['Finance', 'Authority', 'Note'], ['Authority', 'Note', 'added'], ['Note', 'added', '61213'], ['added', '61213', '1640']]"
Alaska Housing Finance Corporation -- Note added 6/6/13 18:08,"[['Alaska'], ['Housing'], ['Finance'], ['Corporation'], ['Note'], ['added'], ['6613'], ['1808']]","[['Alaska', 'Housing'], ['Housing', 'Finance'], ['Finance', 'Corporation'], ['Corporation', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1808']]","[['Alaska', 'Housing', 'Finance'], ['Housing', 'Finance', 'Corporation'], ['Finance', 'Corporation', 'Note'], ['Corporation', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1808']]"
Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08,"[['Alaska'], ['Industrial'], ['Development'], ['Export'], ['Authority'], ['Note'], ['added'], ['6613'], ['1808']]","[['Alaska', 'Industrial'], ['Industrial', 'Development'], ['Development', 'Export'], ['Export', 'Authority'], ['Authority', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1808']]","[['Alaska', 'Industrial', 'Development'], ['Industrial', 'Development', 'Export'], ['Development', 'Export', 'Authority'], ['Export', 'Authority', 'Note'], ['Authority', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1808']]"
Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01,"[['Alaskas'], ['Department'], ['Military'], ['Veterans'], ['Affairs'], ['Division'], ['Homeland'], ['Security'], ['Emergency'], ['Management'], ['Note'], ['added'], ['62714'], ['601']]","[['Alaskas', 'Department'], ['Department', 'Military'], ['Military', 'Veterans'], ['Veterans', 'Affairs'], ['Affairs', 'Division'], ['Division', 'Homeland'], ['Homeland', 'Security'], ['Security', 'Emergency'], ['Emergency', 'Management'], ['Management', 'Note'], ['Note', 'added'], ['added', '62714'], ['62714', '601']]","[['Alaskas', 'Department', 'Military'], ['Department', 'Military', 'Veterans'], ['Military', 'Veterans', 'Affairs'], ['Veterans', 'Affairs', 'Division'], ['Affairs', 'Division', 'Homeland'], ['Division', 'Homeland', 'Security'], ['Homeland', 'Security', 'Emergency'], ['Security', 'Emergency', 'Management'], ['Emergency', 'Management', 'Note'], ['Management', 'Note', 'added'], ['Note', 'added', '62714'], ['added', '62714', '601']]"
Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36,"[['Alaska'], ['Aerospace'], ['Corporation'], ['Board'], ['directors'], ['appointed'], ['Alaska'], ['governor'], ['Note'], ['added'], ['72314'], ['1536']]","[['Alaska', 'Aerospace'], ['Aerospace', 'Corporation'], ['Corporation', 'Board'], ['Board', 'directors'], ['directors', 'appointed'], ['appointed', 'Alaska'], ['Alaska', 'governor'], ['governor', 'Note'], ['Note', 'added'], ['added', '72314'], ['72314', '1536']]","[['Alaska', 'Aerospace', 'Corporation'], ['Aerospace', 'Corporation', 'Board'], ['Corporation', 'Board', 'directors'], ['Board', 'directors', 'appointed'], ['directors', 'appointed', 'Alaska'], ['appointed', 'Alaska', 'governor'], ['Alaska', 'governor', 'Note'], ['governor', 'Note', 'added'], ['Note', 'added', '72314'], ['added', '72314', '1536']]"
Alaska Energy Authority -- Note added 6/6/13 18:08,"[['Alaska'], ['Energy'], ['Authority'], ['Note'], ['added'], ['6613'], ['1808']]","[['Alaska', 'Energy'], ['Energy', 'Authority'], ['Authority', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1808']]","[['Alaska', 'Energy', 'Authority'], ['Energy', 'Authority', 'Note'], ['Authority', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1808']]"
Alaska Public Broadcasting Commission -- Note added 6/6/13 18:08,"[['Alaska'], ['Public'], ['Broadcasting'], ['Commission'], ['Note'], ['added'], ['6613'], ['1808']]","[['Alaska', 'Public'], ['Public', 'Broadcasting'], ['Broadcasting', 'Commission'], ['Commission', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1808']]","[['Alaska', 'Public', 'Broadcasting'], ['Public', 'Broadcasting', 'Commission'], ['Broadcasting', 'Commission', 'Note'], ['Commission', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1808']]"
Alaska Railroad Corporation -- Note added 6/6/13 18:08,"[['Alaska'], ['Railroad'], ['Corporation'], ['Note'], ['added'], ['6613'], ['1808']]","[['Alaska', 'Railroad'], ['Railroad', 'Corporation'], ['Corporation', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1808']]","[['Alaska', 'Railroad', 'Corporation'], ['Railroad', 'Corporation', 'Note'], ['Corporation', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1808']]"
Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22,"[['Travel'], ['Tourism'], ['Site'], ['Alabama'], ['Note'], ['added'], ['6613'], ['1922']]","[['Travel', 'Tourism'], ['Tourism', 'Site'], ['Site', 'Alabama'], ['Alabama', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1922']]","[['Travel', 'Tourism', 'Site'], ['Tourism', 'Site', 'Alabama'], ['Site', 'Alabama', 'Note'], ['Alabama', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1922']]"
Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41,"[['Alabama'], ['National'], ['Guard'], ['Counterdrug'], ['Program'], ['Note'], ['added'], ['12314'], ['1341']]","[['Alabama', 'National'], ['National', 'Guard'], ['Guard', 'Counterdrug'], ['Counterdrug', 'Program'], ['Program', 'Note'], ['Note', 'added'], ['added', '12314'], ['12314', '1341']]","[['Alabama', 'National', 'Guard'], ['National', 'Guard', 'Counterdrug'], ['Guard', 'Counterdrug', 'Program'], ['Counterdrug', 'Program', 'Note'], ['Program', 'Note', 'added'], ['Note', 'added', '12314'], ['added', '12314', '1341']]"
Alabama Film Office -- Note added 6/12/13 16:42,"[['Alabama'], ['Film'], ['Office'], ['Note'], ['added'], ['61213'], ['1642']]","[['Alabama', 'Film'], ['Film', 'Office'], ['Office', 'Note'], ['Note', 'added'], ['added', '61213'], ['61213', '1642']]","[['Alabama', 'Film', 'Office'], ['Film', 'Office', 'Note'], ['Office', 'Note', 'added'], ['Note', 'added', '61213'], ['added', '61213', '1642']]"
"Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net -- Note added 6/12/13 16:43","[['Alabamas'], ['Legal'], ['Information'], ['Center'], ['Alabama'], ['Supreme'], ['Court'], ['State'], ['Law'], ['Library'], ['Catalog'], [' catalogalalincnet'], ['2alalincnet'], ['Note'], ['added'], ['61213'], ['1643']]","[['Alabamas', 'Legal'], ['Legal', 'Information'], ['Information', 'Center'], ['Center', 'Alabama'], ['Alabama', 'Supreme'], ['Supreme', 'Court'], ['Court', 'State'], ['State', 'Law'], ['Law', 'Library'], ['Library', 'Catalog'], ['Catalog', ' catalogalalincnet'], [' catalogalalincnet', '2alalincnet'], ['2alalincnet', 'Note'], ['Note', 'added'], ['added', '61213'], ['61213', '1643']]","[['Alabamas', 'Legal', 'Information'], ['Legal', 'Information', 'Center'], ['Information', 'Center', 'Alabama'], ['Center', 'Alabama', 'Supreme'], ['Alabama', 'Supreme', 'Court'], ['Supreme', 'Court', 'State'], ['Court', 'State', 'Law'], ['State', 'Law', 'Library'], ['Law', 'Library', 'Catalog'], ['Library', 'Catalog', ' catalogalalincnet'], ['Catalog', ' catalogalalincnet', '2alalincnet'], [' catalogalalincnet', '2alalincnet', 'Note'], ['2alalincnet', 'Note', 'added'], ['Note', 'added', '61213'], ['added', '61213', '1643']]"
Alaska Railroad Corporation -- Note added 7/2/13 17:55,"[['Alaska'], ['Railroad'], ['Corporation'], ['Note'], ['added'], ['7213'], ['1755']]","[['Alaska', 'Railroad'], ['Railroad', 'Corporation'], ['Corporation', 'Note'], ['Note', 'added'], ['added', '7213'], ['7213', '1755']]","[['Alaska', 'Railroad', 'Corporation'], ['Railroad', 'Corporation', 'Note'], ['Corporation', 'Note', 'added'], ['Note', 'added', '7213'], ['added', '7213', '1755']]"
Alaska Seafood Marketing Institute -- Note added 6/6/13 18:08,"[['Alaska'], ['Seafood'], ['Marketing'], ['Institute'], ['Note'], ['added'], ['6613'], ['1808']]","[['Alaska', 'Seafood'], ['Seafood', 'Marketing'], ['Marketing', 'Institute'], ['Institute', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1808']]","[['Alaska', 'Seafood', 'Marketing'], ['Seafood', 'Marketing', 'Institute'], ['Marketing', 'Institute', 'Note'], ['Institute', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1808']]"
Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46,"[['Alabama'], ['State'], ['Board'], ['Medical'], ['Examiners'], ['administrative'], ['regulatory'], ['agency'], ['state'], ['Alabama'], ['Medical'], ['Licensure'], ['Commission'], ['Alabama'], ['Note'], ['added'], ['61213'], ['1646']]","[['Alabama', 'State'], ['State', 'Board'], ['Board', 'Medical'], ['Medical', 'Examiners'], ['Examiners', 'administrative'], ['administrative', 'regulatory'], ['regulatory', 'agency'], ['agency', 'state'], ['state', 'Alabama'], ['Alabama', 'Medical'], ['Medical', 'Licensure'], ['Licensure', 'Commission'], ['Commission', 'Alabama'], ['Alabama', 'Note'], ['Note', 'added'], ['added', '61213'], ['61213', '1646']]","[['Alabama', 'State', 'Board'], ['State', 'Board', 'Medical'], ['Board', 'Medical', 'Examiners'], ['Medical', 'Examiners', 'administrative'], ['Examiners', 'administrative', 'regulatory'], ['administrative', 'regulatory', 'agency'], ['regulatory', 'agency', 'state'], ['agency', 'state', 'Alabama'], ['state', 'Alabama', 'Medical'], ['Alabama', 'Medical', 'Licensure'], ['Medical', 'Licensure', 'Commission'], ['Licensure', 'Commission', 'Alabama'], ['Commission', 'Alabama', 'Note'], ['Alabama', 'Note', 'added'], ['Note', 'added', '61213'], ['added', '61213', '1646']]"
Alabama Board of Pharmacy -- Note added 6/12/13 16:47,"[['Alabama'], ['Board'], ['Pharmacy'], ['Note'], ['added'], ['61213'], ['1647']]","[['Alabama', 'Board'], ['Board', 'Pharmacy'], ['Pharmacy', 'Note'], ['Note', 'added'], ['added', '61213'], ['61213', '1647']]","[['Alabama', 'Board', 'Pharmacy'], ['Board', 'Pharmacy', 'Note'], ['Pharmacy', 'Note', 'added'], ['Note', 'added', '61213'], ['added', '61213', '1647']]"
Alabama State Department of Education -- Note added 6/12/13 17:15,"[['Alabama'], ['State'], ['Department'], ['Education'], ['Note'], ['added'], ['61213'], ['1715']]","[['Alabama', 'State'], ['State', 'Department'], ['Department', 'Education'], ['Education', 'Note'], ['Note', 'added'], ['added', '61213'], ['61213', '1715']]","[['Alabama', 'State', 'Department'], ['State', 'Department', 'Education'], ['Department', 'Education', 'Note'], ['Education', 'Note', 'added'], ['Note', 'added', '61213'], ['added', '61213', '1715']]"
Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22,"[['Travel'], ['Tourism'], ['Site'], ['American'], ['Samoa'], ['Note'], ['added'], ['6613'], ['1922']]","[['Travel', 'Tourism'], ['Tourism', 'Site'], ['Site', 'American'], ['American', 'Samoa'], ['Samoa', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1922']]","[['Travel', 'Tourism', 'Site'], ['Tourism', 'Site', 'American'], ['Site', 'American', 'Samoa'], ['American', 'Samoa', 'Note'], ['Samoa', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1922']]"
"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40","[['Amtrak'], ['Cascades'], ['train'], ['service'], ['sponsored'], ['state'], ['departments'], ['transportation'], ['Washington'], ['Oregon'], ['Note'], ['added'], ['61714'], ['1440']]","[['Amtrak', 'Cascades'], ['Cascades', 'train'], ['train', 'service'], ['service', 'sponsored'], ['sponsored', 'state'], ['state', 'departments'], ['departments', 'transportation'], ['transportation', 'Washington'], ['Washington', 'Oregon'], ['Oregon', 'Note'], ['Note', 'added'], ['added', '61714'], ['61714', '1440']]","[['Amtrak', 'Cascades', 'train'], ['Cascades', 'train', 'service'], ['train', 'service', 'sponsored'], ['service', 'sponsored', 'state'], ['sponsored', 'state', 'departments'], ['state', 'departments', 'transportation'], ['departments', 'transportation', 'Washington'], ['transportation', 'Washington', 'Oregon'], ['Washington', 'Oregon', 'Note'], ['Oregon', 'Note', 'added'], ['Note', 'added', '61714'], ['added', '61714', '1440']]"
Agency for Persons with Disabilities (APD) -- Note added 2/25/15 15:33,"[['Agency'], ['Persons'], ['Disabilities'], ['APD'], ['Note'], ['added'], ['22515'], ['1533']]","[['Agency', 'Persons'], ['Persons', 'Disabilities'], ['Disabilities', 'APD'], ['APD', 'Note'], ['Note', 'added'], ['added', '22515'], ['22515', '1533']]","[['Agency', 'Persons', 'Disabilities'], ['Persons', 'Disabilities', 'APD'], ['Disabilities', 'APD', 'Note'], ['APD', 'Note', 'added'], ['Note', 'added', '22515'], ['added', '22515', '1533']]"
Alaska Permanent Fund Corporation -- Note added 6/6/13 18:08,"[['Alaska'], ['Permanent'], ['Fund'], ['Corporation'], ['Note'], ['added'], ['6613'], ['1808']]","[['Alaska', 'Permanent'], ['Permanent', 'Fund'], ['Fund', 'Corporation'], ['Corporation', 'Note'], ['Note', 'added'], ['added', '6613'], ['6613', '1808']]","[['Alaska', 'Permanent', 'Fund'], ['Permanent', 'Fund', 'Corporation'], ['Fund', 'Corporation', 'Note'], ['Corporation', 'Note', 'added'], ['Note', 'added', '6613'], ['added', '6613', '1808']]"
Arkansas Public Service Commission -- Note added 1/10/14 17:55,"[['Arkansas'], ['Public'], ['Service'], ['Commission'], ['Note'], ['added'], ['11014'], ['1755']]","[['Arkansas', 'Public'], ['Public', 'Service'], ['Service', 'Commission'], ['Commission', 'Note'], ['Note', 'added'], ['added', '11014'], ['11014', '1755']]","[['Arkansas', 'Public', 'Service'], ['Public', 'Service', 'Commission'], ['Service', 'Commission', 'Note'], ['Commission', 'Note', 'added'], ['Note', 'added', '11014'], ['added', '11014', '1755']]"
